,weight
"X,X,X,WK,X,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,WQ,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,X,BR,X,X",68.30134553650706
"X,X,X,X,WK,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,WQ,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,X,BR,X,X",62.0921323059155
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,WQ,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,X,BR,X,X",56.44739300537772
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,WQ,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,X,BR,X,X",51.31581182307065
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,WQ,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,BH,X,BP,X,X,X,X,X,WH,BP,BR,WKB,BK,X,X,BR,X,X",46.650738020973314
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,WQ,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,BH,X,BP,X,X,X,X,X,WH,BP,BR,WKB,BK,X,X,BR,X,X",42.40976183724847
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,WQ,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,WKB,BK,X,X,BR,X,X",38.55432894295315
"X,X,X,X,WK,BQ,WR,X,WR,X,X,X,X,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,WQ,X,X,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,WKB,BK,X,X,BR,X,X",35.04938994813922
"X,X,X,X,WK,WQB,WR,X,WR,X,X,X,BQ,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,WQ,X,X,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,WKB,BK,X,X,BR,X,X",31.863081771035652
"X,X,X,X,WK,WQB,WR,X,WR,X,X,X,BQ,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,WQ,X,WKB,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,X,BK,X,X,BR,X,X",28.96643797366877
"X,X,X,X,WK,WQB,WR,X,WR,X,X,X,WP,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,WQ,X,WKB,X,X,X,X,X,BP,X,WP,X,BQ,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,X,BK,X,X,BR,X,X",26.33312543060797
"WR,X,X,X,WK,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,WQ,X,WKB,X,X,X,X,X,BP,X,WP,X,BQ,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,X,BK,X,X,BR,X,X",23.939204936916337
"WR,X,X,X,WK,WQB,WR,X,X,X,X,X,WP,X,WP,X,WP,X,X,WP,X,X,BP,X,X,WP,BP,WQ,X,WKB,X,X,X,X,X,BP,X,WP,X,BQ,BKB,BH,BP,X,X,X,X,X,BP,X,X,X,BH,X,WH,BP,BR,X,BK,X,X,BR,X,X",21.76291357901485
