,weight
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,WKB,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,BK,X,X,X,X,X,X",-0.8518551279500609
"X,X,WK,X,X,X,WR,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,WKB,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,BK,X,X,X,X,X,X",-0.7744137526818735
"X,X,WK,X,X,X,WR,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,BK,X,X,X,X,X,X",-0.7040125024380668
"X,X,WK,X,X,X,WR,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,X,BK,X,X,X,X,X",-0.640011365852788
"X,X,WK,X,X,X,WR,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,BK,X,X,X,X,X",-0.5818285144116253
"X,X,WK,X,X,X,WR,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,BR,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,BK,X,X,X,X,X",-0.5289350131014775
"X,X,WK,X,WR,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,BR,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,BK,X,X,X,X,X",-0.480850011910434
"X,X,WK,X,WR,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,BR,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.4371363744640309
"X,X,WK,X,X,X,X,WR,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,BR,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.39739670405820987
"X,X,WK,X,X,X,X,WR,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.36126973096200893
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.3284270281472808
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.2985700255884371
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,X,X,X,BP,X,WP,BH,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.2714272959894882
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,BR,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.2467520872631711
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,WR,X,X,BR,X,X,BP,X,WP,BH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.22432007933015552
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,WR,X,X,BR,X,X,BP,X,WP,WH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.2039273448455959
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,BR,X,X,BP,X,WP,WH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,X,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.1853884953141781
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,WH,X,X,BP,X,WP,WH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,X,WKB,X,X",-0.1685349957401619
